type,dir,arrival,departure,meta: start time 6:08 = 0 ||
w,up,0,2,
r,down,3,,
r,down,4,,
r,down,4,,
c,down,5,,
c,down,6,,
w,up,8,,
w,down,10,,
w,down,10,,
w,down,10,,
c,down,11,,
r,up,11,,
r,down,12,,
r,down,12,,
r,down,12,,
w,down,12,,
w,down,12,,
w,down,12,,
r,down,13,,
w,up,13,,
r,up,13,,
c,up,13,,
c,up,13,,
c,up,13,,
c,down,13,17,
c,down,13,17,
r,up,14,,
c,down,14,,
c,down,14,,
c,down,14,,
c,down,14,,
r,up,15,,
r,up,15,,
r,down,16,,
r,down,16,,
r,down,16,,
c,up,16,,
w,down,16,,
w,down,16,,
w,down,16,,
w,down,16,,
r,up,17,,
w,down,17,,
c,down,17,,
c,down,17,,
c,down,18,,
r,down,19,,
r,down,20,,
c,down,20,,
c,down,20,,
w,down,20,,
w,up,20,,
w,down,20,,
c,down,21,,
r,down,21,,
r,down,21,,
w,up,21,,
w,up,22,29,
w,up,22,,
r,down,22,,
r,down,22,,
r,down,23,,
w,down,23,24,
w,up,24,,
w,up,24,,
w,up,24,,
w,up,24,,
w,up,25,,
w,down,25,27,
c,up,26,27,
w,down,27,28,
w,down,27,28,
w,down,28,,
w,down,28,,
w,up,28,,
w,up,28,,
r,down,28,,
r,down,28,,
r,down,28,,
r,up,28,,
r,down,28,,
c,down,28,,
c,down,28,,
c,down,29,,
c,down,29,,
w,down,29,,
r,up,29,,
r,down,30,,
c,down,30,,
c,down,31,,
c,down,32,,
c,down,33,,
c,down,33,,
r,down,33,,
r,down,33,,
r,down,34,,
c,down,34,,
c,down,34,,
w,down,34,,
w,down,34,,
w,down,35,,
w,down,35,,
r,down,35,,
r,up,36,,
c,down,37,,
w,down,37,,
w,down,37,,
r,down,37,,
c,down,38,,
c,down,38,,
c,down,38,,
c,down,38,,
w,down,38,,
w,down,38,,
w,up,38,,
w,up,38,,
w,up,39,,
r,down,39,,
r,down,40,,
c,down,40,,
c,down,42,,
c,down,43,,
w,down,43,,
w,down,43,,
r,up,43,,
r,up,43,,
w,down,44,,
r,down,45,,
r,down,45,,
w,down,45,,
w,down,45,,
c,down,46,,
c,down,46,,
c,down,46,,
c,down,46,,
c,down,47,,
r,down,48,,
w,up,48,,
r,up,49,,
w,down,50,52,
c,up,52,57,
w,up,52,,
w,down,53,57,
w,down,53,57,
w,up,53,,
r,up,54,,
r,up,54,,
c,down,54,,
c,down,54,,
w,down,55,,
w,down,56,,
w,up,56,,
r,up,57,,
w,up,57,,